Project_ID,Phase_Num,Phase_Name,Cumulative_Delay_Days,Cumulative_Cost_Overrun_Cr,Project_Type,Voltage_Level,Project_Location,Project_Size,Contract_Type,Planned_Duration,Total_Budget_Cr,Start_Date,Engg_%Complete,Engg_Planned_Days,Engg_Actual_Days,Engg_Planned_Cost_Cr,Engg_Actual_Cost_Cr,DPR_Status,Design_Changes,ROW_%Complete,ROW_Planned_Days,ROW_Actual_Days,ROW_Planned_Cost_Cr,ROW_Actual_Cost_Cr,Forest_Clearance,Statutory_Approvals,Supply_%Complete,Supply_Planned_Days,Supply_Actual_Days,Supply_Planned_Cost_Cr,Supply_Actual_Cost_Cr,Orders_Placed,Equip_Delivery_Status,Civil_%Complete,Civil_Planned_Days,Civil_Actual_Days,Civil_Planned_Cost_Cr,Civil_Actual_Cost_Cr,Foundations_Complete,Site_Access,Erection_%Complete,Erection_Planned_Days,Erection_Actual_Days,Erection_Planned_Cost_Cr,Erection_Actual_Cost_Cr,Towers_Erected_Pct,Structures_Complete,Stringing_%Complete,Stringing_Planned_Days,Stringing_Actual_Days,Stringing_Planned_Cost_Cr,Stringing_Actual_Cost_Cr,Conductor_Strung_Pct,Terrain_Type,Testing_%Complete,Testing_Planned_Days,Testing_Actual_Days,Testing_Planned_Cost_Cr,Testing_Actual_Cost_Cr,Trial_Run_Status,DOCO_Date,
Khammam-Nagarjunasagar-400kV-TBCB,1,Planning/Engineering,-2,0.7,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,2,Approvals & ROW,10,7.95,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,3,Procurement/Supply,13,11.18,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,100,75,78,71.25,75.23,1,OnTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,4,Site Preparation/Civil,26,22.54,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,100,75,78,71.25,75.23,1,OnTime,100,85,98,42.75,52.36,92,1,,,,,,,,,,,,,,,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,5,Erection/Construction,41,35.85,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,100,75,78,71.25,75.23,1,OnTime,100,85,98,42.75,52.36,92,1,100,110,125,57,65.31,98,1,,,,,,,,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,6,Stringing/Cabling,45,39.2,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,100,75,78,71.25,75.23,1,OnTime,100,85,98,42.75,52.36,92,1,100,110,125,57,65.31,98,1,100,80,84,28.5,31.35,97,Mixed,,,,,,,,
Khammam-Nagarjunasagar-400kV-TBCB,7,Testing & Commissioning,47,40.88,Line,400kV,Telangana and Andhra Pradesh,288.84,TBCB,24,285,01-04-2013,100,90,88,28.5,29.2,Approved,0,100,150,162,42.75,48.95,1,Complete,100,75,78,71.25,75.23,1,OnTime,100,85,98,42.75,52.36,92,1,100,110,125,57,65.31,98,1,100,80,84,28.5,31.35,97,Mixed,100,45,47,14.25,15.68,Successful,31-12-2015,
Purnea-Biharshariff-400kV-DC-Line,1,Planning/Engineering,5,8,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purnea-Biharshariff-400kV-DC-Line,2,Approvals & ROW,53,51,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purnea-Biharshariff-400kV-DC-Line,3,Procurement/Supply,60,88,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,100,75,82,125,162,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
